# Generated by tools/generate_similar_kanji_tsv.py
# Source: Kiku apps/docs/public/_kiku_db_main.tar
# Kiku commit: 68c4d00e8c2d8a61f8714c8c8075b1451ca3f77d
# Shape: KanjiInfoCompact[8] visuallySimilar
kanji_a	kanji_b	source
初	祈	kiku:wk-visually-similar
判	半	kiku:wk-visually-similar
別	利	kiku:wk-visually-similar
利	科	kiku:wk-visually-similar
到	致	kiku:wk-visually-similar
制	刺	kiku:wk-visually-similar
制	割	kiku:wk-visually-similar
券	巻	kiku:wk-visually-similar
券	拳	kiku:wk-visually-similar
券	挙	kiku:wk-visually-similar
券	港	kiku:wk-visually-similar
刻	劾	kiku:wk-visually-similar
刻	咳	kiku:wk-visually-similar
刻	核	kiku:wk-visually-similar
刻	該	kiku:wk-visually-similar
則	削	kiku:wk-visually-similar
則	測	kiku:wk-visually-similar
削	消	kiku:wk-visually-similar
剣	検	kiku:wk-visually-similar
剣	険	kiku:wk-visually-similar
剣	験	kiku:wk-visually-similar
剤	済	kiku:wk-visually-similar
副	幅	kiku:wk-visually-similar
副	福	kiku:wk-visually-similar
功	助	kiku:wk-visually-similar
功	攻	kiku:wk-visually-similar
努	怒	kiku:wk-visually-similar
効	校	kiku:wk-visually-similar
効	絞	kiku:wk-visually-similar
効	較	kiku:wk-visually-similar
効	郊	kiku:wk-visually-similar
勇	男	kiku:wk-visually-similar
勉	晩	kiku:wk-visually-similar
動	勧	kiku:wk-visually-similar
務	疑	kiku:wk-visually-similar
募	墓	kiku:wk-visually-similar
募	幕	kiku:wk-visually-similar
募	慕	kiku:wk-visually-similar
募	暮	kiku:wk-visually-similar
勢	塾	kiku:wk-visually-similar
勢	熟	kiku:wk-visually-similar
勢	熱	kiku:wk-visually-similar
勧	歓	kiku:wk-visually-similar
勧	観	kiku:wk-visually-similar
匂	句	kiku:wk-visually-similar
匂	旬	kiku:wk-visually-similar
包	抱	kiku:wk-visually-similar
包	泡	kiku:wk-visually-similar
包	砲	kiku:wk-visually-similar
包	胞	kiku:wk-visually-similar
包	飽	kiku:wk-visually-similar
化	北	kiku:wk-visually-similar
化	比	kiku:wk-visually-similar
北	比	kiku:wk-visually-similar
匹	四	kiku:wk-visually-similar
区	図	kiku:wk-visually-similar
千	干	kiku:wk-visually-similar
午	失	kiku:wk-visually-similar
午	年	kiku:wk-visually-similar
午	朱	kiku:wk-visually-similar
午	牛	kiku:wk-visually-similar
午	生	kiku:wk-visually-similar
午	矢	kiku:wk-visually-similar
半	平	kiku:wk-visually-similar
卒	率	kiku:wk-visually-similar
卓	悼	kiku:wk-visually-similar
卓	貞	kiku:wk-visually-similar
単	呆	kiku:wk-visually-similar
単	巣	kiku:wk-visually-similar
単	早	kiku:wk-visually-similar
単	果	kiku:wk-visually-similar
単	菓	kiku:wk-visually-similar
博	縛	kiku:wk-visually-similar
印	即	kiku:wk-visually-similar
印	却	kiku:wk-visually-similar
印	卸	kiku:wk-visually-similar
印	叩	kiku:wk-visually-similar
即	却	kiku:wk-visually-similar
即	卸	kiku:wk-visually-similar
即	叩	kiku:wk-visually-similar
却	卸	kiku:wk-visually-similar
却	叩	kiku:wk-visually-similar
卵	柳	kiku:wk-visually-similar
卸	叩	kiku:wk-visually-similar
原	泉	kiku:wk-visually-similar
去	失	kiku:wk-visually-similar
去	法	kiku:wk-visually-similar
参	惨	kiku:wk-visually-similar
参	珍	kiku:wk-visually-similar
参	診	kiku:wk-visually-similar
及	吸	kiku:wk-visually-similar
及	扱	kiku:wk-visually-similar
及	級	kiku:wk-visually-similar
友	反	kiku:wk-visually-similar
友	右	kiku:wk-visually-similar
双	叔	kiku:wk-visually-similar
双	叙	kiku:wk-visually-similar
双	奴	kiku:wk-visually-similar
双	対	kiku:wk-visually-similar
双	淑	kiku:wk-visually-similar
反	皮	kiku:wk-visually-similar
叔	叙	kiku:wk-visually-similar
叔	淑	kiku:wk-visually-similar
取	改	kiku:wk-visually-similar
取	放	kiku:wk-visually-similar
取	敗	kiku:wk-visually-similar
受	妥	kiku:wk-visually-similar
受	授	kiku:wk-visually-similar
叙	淑	kiku:wk-visually-similar
古	岩	kiku:wk-visually-similar
古	若	kiku:wk-visually-similar
古	苦	kiku:wk-visually-similar
句	可	kiku:wk-visually-similar
句	司	kiku:wk-visually-similar
句	同	kiku:wk-visually-similar
句	向	kiku:wk-visually-similar
句	旬	kiku:wk-visually-similar
句	河	kiku:wk-visually-similar
句	洞	kiku:wk-visually-similar
句	苛	kiku:wk-visually-similar
句	荷	kiku:wk-visually-similar
句	詞	kiku:wk-visually-similar
句	阿	kiku:wk-visually-similar
句	飼	kiku:wk-visually-similar
叫	糾	kiku:wk-visually-similar
可	司	kiku:wk-visually-similar
可	同	kiku:wk-visually-similar
可	向	kiku:wk-visually-similar
可	旬	kiku:wk-visually-similar
可	河	kiku:wk-visually-similar
可	洞	kiku:wk-visually-similar
可	苛	kiku:wk-visually-similar
可	荷	kiku:wk-visually-similar
可	詞	kiku:wk-visually-similar
可	阿	kiku:wk-visually-similar
可	飼	kiku:wk-visually-similar
台	治	kiku:wk-visually-similar
史	更	kiku:wk-visually-similar
史	硬	kiku:wk-visually-similar
右	左	kiku:wk-visually-similar
右	石	kiku:wk-visually-similar
司	同	kiku:wk-visually-similar
司	向	kiku:wk-visually-similar
司	旬	kiku:wk-visually-similar
司	河	kiku:wk-visually-similar
司	洞	kiku:wk-visually-similar
司	苛	kiku:wk-visually-similar
司	荷	kiku:wk-visually-similar
司	詞	kiku:wk-visually-similar
司	阿	kiku:wk-visually-similar
司	飼	kiku:wk-visually-similar
各	名	kiku:wk-visually-similar
各	客	kiku:wk-visually-similar
各	条	kiku:wk-visually-similar
各	格	kiku:wk-visually-similar
合	谷	kiku:wk-visually-similar
吉	告	kiku:wk-visually-similar
同	向	kiku:wk-visually-similar
同	旬	kiku:wk-visually-similar
同	河	kiku:wk-visually-similar
同	洞	kiku:wk-visually-similar
同	胴	kiku:wk-visually-similar
同	苛	kiku:wk-visually-similar
同	荷	kiku:wk-visually-similar
同	詞	kiku:wk-visually-similar
同	銅	kiku:wk-visually-similar
同	阿	kiku:wk-visually-similar
同	飼	kiku:wk-visually-similar
后	盾	kiku:wk-visually-similar
向	旬	kiku:wk-visually-similar
向	河	kiku:wk-visually-similar
向	洞	kiku:wk-visually-similar
向	胴	kiku:wk-visually-similar
向	荷	kiku:wk-visually-similar
向	詞	kiku:wk-visually-similar
向	銅	kiku:wk-visually-similar
向	阿	kiku:wk-visually-similar
向	飼	kiku:wk-visually-similar
吸	扱	kiku:wk-visually-similar
吸	級	kiku:wk-visually-similar
呆	巣	kiku:wk-visually-similar
呆	杏	kiku:wk-visually-similar
呆	果	kiku:wk-visually-similar
呆	菓	kiku:wk-visually-similar
呉	県	kiku:wk-visually-similar
告	造	kiku:wk-visually-similar
周	調	kiku:wk-visually-similar
和	如	kiku:wk-visually-similar
和	知	kiku:wk-visually-similar
咳	核	kiku:wk-visually-similar
咳	該	kiku:wk-visually-similar
哀	衰	kiku:wk-visually-similar
員	買	kiku:wk-visually-similar
員	賞	kiku:wk-visually-similar
哲	唇	kiku:wk-visually-similar
哲	暫	kiku:wk-visually-similar
哲	誓	kiku:wk-visually-similar
哺	捕	kiku:wk-visually-similar
哺	浦	kiku:wk-visually-similar
哺	補	kiku:wk-visually-similar
唇	辱	kiku:wk-visually-similar
唐	康	kiku:wk-visually-similar
唐	庸	kiku:wk-visually-similar
唐	逮	kiku:wk-visually-similar
唯	推	kiku:wk-visually-similar
唯	椎	kiku:wk-visually-similar
唯	権	kiku:wk-visually-similar
唯	確	kiku:wk-visually-similar
唯	稚	kiku:wk-visually-similar
唯	維	kiku:wk-visually-similar
唯	誰	kiku:wk-visually-similar
唯	進	kiku:wk-visually-similar
唯	雄	kiku:wk-visually-similar
唯	雅	kiku:wk-visually-similar
唯	雑	kiku:wk-visually-similar
唯	離	kiku:wk-visually-similar
唯	難	kiku:wk-visually-similar
問	聞	kiku:wk-visually-similar
問	閉	kiku:wk-visually-similar
問	開	kiku:wk-visually-similar
問	閑	kiku:wk-visually-similar
問	間	kiku:wk-visually-similar
問	関	kiku:wk-visually-similar
問	閣	kiku:wk-visually-similar
善	喜	kiku:wk-visually-similar
善	普	kiku:wk-visually-similar
喋	葉	kiku:wk-visually-similar
喚	換	kiku:wk-visually-similar
喜	普	kiku:wk-visually-similar
喫	契	kiku:wk-visually-similar
営	宮	kiku:wk-visually-similar
嘘	墟	kiku:wk-visually-similar
嘘	慮	kiku:wk-visually-similar
嘱	属	kiku:wk-visually-similar
噂	噌	kiku:wk-visually-similar
噴	墳	kiku:wk-visually-similar
噴	憤	kiku:wk-visually-similar
因	困	kiku:wk-visually-similar
圏	園	kiku:wk-visually-similar
土	士	kiku:wk-visually-similar
圧	在	kiku:wk-visually-similar
圧	庄	kiku:wk-visually-similar
圧	床	kiku:wk-visually-similar
在	存	kiku:wk-visually-similar
地	池	kiku:wk-visually-similar
坂	板	kiku:wk-visually-similar
坂	版	kiku:wk-visually-similar
坂	販	kiku:wk-visually-similar
坂	返	kiku:wk-visually-similar
坂	阪	kiku:wk-visually-similar
坂	飯	kiku:wk-visually-similar
坊	妨	kiku:wk-visually-similar
坊	放	kiku:wk-visually-similar
坊	施	kiku:wk-visually-similar
坊	旅	kiku:wk-visually-similar
坊	旋	kiku:wk-visually-similar
坊	族	kiku:wk-visually-similar
坊	紡	kiku:wk-visually-similar
坊	肪	kiku:wk-visually-similar
坊	訪	kiku:wk-visually-similar
坊	防	kiku:wk-visually-similar
坑	抗	kiku:wk-visually-similar
坑	航	kiku:wk-visually-similar
垂	睡	kiku:wk-visually-similar
垂	華	kiku:wk-visually-similar
垂	車	kiku:wk-visually-similar
垣	恒	kiku:wk-visually-similar
埋	理	kiku:wk-visually-similar
埋	里	kiku:wk-visually-similar
城	域	kiku:wk-visually-similar
域	惑	kiku:wk-visually-similar
域	感	kiku:wk-visually-similar
基	墓	kiku:wk-visually-similar
埼	崎	kiku:wk-visually-similar
埼	椅	kiku:wk-visually-similar
埼	綺	kiku:wk-visually-similar
堀	塀	kiku:wk-visually-similar
堀	居	kiku:wk-visually-similar
堀	屈	kiku:wk-visually-similar
堀	届	kiku:wk-visually-similar
堀	戻	kiku:wk-visually-similar
堀	房	kiku:wk-visually-similar
堀	据	kiku:wk-visually-similar
堀	掘	kiku:wk-visually-similar
堀	握	kiku:wk-visually-similar
堀	泥	kiku:wk-visually-similar
堀	涙	kiku:wk-visually-similar
堀	漏	kiku:wk-visually-similar
堀	遅	kiku:wk-visually-similar
堂	常	kiku:wk-visually-similar
堂	覚	kiku:wk-visually-similar
堂	賞	kiku:wk-visually-similar
堅	緊	kiku:wk-visually-similar
堕	墜	kiku:wk-visually-similar
堤	得	kiku:wk-visually-similar
堤	提	kiku:wk-visually-similar
堤	撮	kiku:wk-visually-similar
堤	是	kiku:wk-visually-similar
報	服	kiku:wk-visually-similar
場	揚	kiku:wk-visually-similar
場	湯	kiku:wk-visually-similar
場	腸	kiku:wk-visually-similar
場	陽	kiku:wk-visually-similar
塀	居	kiku:wk-visually-similar
塀	屈	kiku:wk-visually-similar
塀	届	kiku:wk-visually-similar
塀	戻	kiku:wk-visually-similar
塀	房	kiku:wk-visually-similar
塀	据	kiku:wk-visually-similar
塀	掘	kiku:wk-visually-similar
塀	握	kiku:wk-visually-similar
塀	泥	kiku:wk-visually-similar
塀	涙	kiku:wk-visually-similar
塀	漏	kiku:wk-visually-similar
塀	遅	kiku:wk-visually-similar
塁	累	kiku:wk-visually-similar
塔	搭	kiku:wk-visually-similar
塚	稼	kiku:wk-visually-similar
